Receiver ID,Block Date,Block Heights not present in Index Files,Block Heights not present in Databricks,True if unique block heights are the same between the two lists
differentialontology4061333918.u.arkana.near,2024-03-21,115165212,115165212,True
differentperfidy4489342858.u.arkana.near,2024-03-21,115173735,115173735,True
digitalbellhop4291263943.u.arkana.near,2024-03-21,115155637,115155637,True
diplomaticshowgirl3321167767.u.arkana.near,2024-03-21,"115170287,115170392,115171889","115170287,115170392,115171889",True
disgracefulmismatch8419279362.u.arkana.near,2024-03-21,115173086,115173086,True
disloyalentomologist6155334929.u.arkana.near,2024-03-21,115163086,115163086,True
derkaouihassni.near,2024-03-21,115169586,115169586,True
directactualization4491335263.u.arkana.near,2024-03-21,115185342,115185342,True
disciplinedhouse6118190908.u.arkana.near,2024-03-21,"115173658,115173728","115173658,115173728",True
designatedpouch6129359141.u.arkana.near,2024-03-21,115157783,115157783,True
directwisdom5893290208.u.arkana.near,2024-03-21,115166761,115166761,True
disappointingdesigner4828359317.u.arkana.near,2024-03-21,115171841,115171841,True
disparagingreliance202346008.u.arkana.near,2024-03-21,115182627,115182627,True
distinguishableern1197342406.u.arkana.near,2024-03-21,115152765,115152765,True
dissimilarspender159121499.u.arkana.near,2024-03-21,115166485,115166485,True
disparatedowel4297260767.u.arkana.near,2024-03-21,115182536,115182536,True
distinguishedwatercolor18543630.u.arkana.near,2024-03-21,115176847,115176847,True
disturbingoath24324872.u.arkana.near,2024-03-21,115165873,115165873,True
diversefavour2318148738.u.arkana.near,2024-03-21,"115151377,115165024","115151377,115165024",True
djupri10216.near,2024-03-21,115172498,115172498,True
doctrinalurchin3463283668.u.arkana.near,2024-03-21,115163574,115163574,True
dogmaticnewsman6467310943.u.arkana.near,2024-03-21,115161594,115161594,True
duskynoise3550295916.u.arkana.near,2024-03-21,115159312,115159312,True
eagerpole747011308.u.arkana.near,2024-03-21,115159403,115159403,True
earlybabushka708853511.u.arkana.near,2024-03-21,115157990,115157990,True
earnedbookstore568957845.u.arkana.near,2024-03-21,115180121,115180121,True
earnestchemist281151132.u.arkana.near,2024-03-21,115169614,115169614,True
earthlyanticlimax140931372.u.arkana.near,2024-03-21,115185993,115185993,True
edgevideo.near,2024-03-21,"115158579,115158590,115158599,115158630,115158638,115158648","115158579,115158590,115158599,115158630,115158638,115158648",True
eloquentcharacter6450188764.u.arkana.near,2024-03-21,115180345,115180345,True
elderlycoolant210824330.u.arkana.near,2024-03-21,115184254,115184254,True
electoralcircumstance609289100.u.arkana.near,2024-03-21,"115155915,115155944","115155915,115155944",True
eeriewashstand3340121354.u.arkana.near,2024-03-21,115173537,115173537,True
embroideredshuttle5719267972.u.arkana.near,2024-03-21,115155811,115155811,True
emotionaloutpatient6712189897.u.arkana.near,2024-03-21,115158411,115158411,True
enterprisingpost-mortem3794309438.u.arkana.near,2024-03-21,"115170315,115170449","115170315,115170449",True
enhancedprocedure4253309688.u.arkana.near,2024-03-21,"115163400,115163433","115163400,115163433",True
enchantedtration3428359710.u.arkana.near,2024-03-21,115175660,115175660,True
epicperiod8632.u.arkana.near,2024-03-21,115164789,115164789,True
erraticrepeat4914342764.u.arkana.near,2024-03-21,"115157184,115169907","115157184,115169907",True
esotericaqueduct3917356816.u.arkana.near,2024-03-21,115164852,115164852,True
estheticclosing2207231596.u.arkana.near,2024-03-21,115171086,115171086,True
eucalyptusbrooch7497345917.u.arkana.near,2024-03-21,115156675,115156675,True
ethicalexaltation8917314212.u.arkana.near,2024-03-21,115156074,115156074,True
estheticbranch2742171284.u.arkana.near,2024-03-21,115172832,115172832,True
everydayharridan5561315048.u.arkana.near,2024-03-21,115158458,115158458,True
evasiveexpansion2764307911.u.arkana.near,2024-03-21,115155650,115155650,True
evilkingmaker1006265603.u.arkana.near,2024-03-21,115155635,115155635,True
excellentmenace843753967.u.arkana.near,2024-03-21,115159548,115159548,True
excitedstrait2955257750.u.arkana.near,2024-03-21,"115168079,115168555,115168631,115172895,115175833","115168079,115168555,115168631,115172895,115175833",True
exemptausterity1504109986.u.arkana.near,2024-03-21,115160221,115160221,True
exiledracer1667180524.u.arkana.near,2024-03-21,115175343,115175343,True
expressivespill174574846.u.arkana.near,2024-03-21,115154251,115154251,True
extinctoblivion502923297.u.arkana.near,2024-03-21,115154067,115154067,True
extantadventure695038175.u.arkana.near,2024-03-21,115157128,115157128,True
familialsit7505121952.u.arkana.near,2024-03-21,115175417,115175417,True
exultantidol6060146299.u.arkana.near,2024-03-21,115183020,115183020,True
extremecreditor8064350508.u.arkana.near,2024-03-21,"115172439,115172573","115172439,115172573",True
fairracist8533134744.u.arkana.near,2024-03-21,115168593,115168593,True
fairbanishment7900343667.u.arkana.near,2024-03-21,115171508,115171508,True
familiarpriest5981258816.u.arkana.near,2024-03-21,115175294,115175294,True
far-reachingstationmaster6845328312.u.arkana.near,2024-03-21,115167308,115167308,True
farfetchedfrenzy1874311901.u.arkana.near,2024-03-21,115177886,115177886,True
fascisttepee7902289464.u.arkana.near,2024-03-21,"115155451,115155632","115155451,115155632",True
fatefulproductivity781868927.u.arkana.near,2024-03-21,115159930,115159930,True
fashionabledugout676785816.u.arkana.near,2024-03-21,"115161662,115162923","115161662,115162923",True
fay.mintbase.near,2024-03-21,115153055,115153055,True
feeblephosphor5290175459.u.arkana.near,2024-03-21,115160774,115160774,True
fetidsimplification6951287959.u.arkana.near,2024-03-21,"115157006,115162440","115157006,115162440",True
fictitiousvinegar6469345743.u.arkana.near,2024-03-21,115155226,115155226,True
feudalblizzard1878319381.u.arkana.near,2024-03-21,115157852,115157852,True
filthysetup7158309082.u.arkana.near,2024-03-21,115168055,115168055,True
fattyjudgment6861359779.u.arkana.near,2024-03-21,115176483,115176483,True
firmparameter5851104492.u.arkana.near,2024-03-21,115174729,115174729,True
flamboyantbiopsy3650201901.u.arkana.near,2024-03-21,115182695,115182695,True
flabbydrawback7746286819.u.arkana.near,2024-03-21,115151590,115151590,True
fledglingground1264256954.u.arkana.near,2024-03-21,115155526,115155526,True
fledglingmeter241421951.u.arkana.near,2024-03-21,115164845,115164845,True
flexiblefrond774846631.u.arkana.near,2024-03-21,115163595,115163595,True
follow-upchaise175744295.u.arkana.near,2024-03-21,115155909,115155909,True
floppyveteran7273360001.u.arkana.near,2024-03-21,115182518,115182518,True
follow-upposterior728638208.u.arkana.near,2024-03-21,"115167976,115168300","115167976,115168300",True
forestedhandlebar4030320406.u.arkana.near,2024-03-21,115167269,115167269,True
followingabbreviation5407135480.u.arkana.near,2024-03-21,115161266,115161266,True
four-year-oldhypochondriac5014335893.u.arkana.near,2024-03-21,115155903,115155903,True
four-year-oldrepatriation3386342357.u.arkana.near,2024-03-21,115160071,115160071,True
fractureddeadpan347154530.u.arkana.near,2024-03-21,115165171,115165171,True
fourniercalixte.near,2024-03-21,"115173936,115173945,115174018,115174023,115174036","115173936,115173945,115174018,115174023,115174036",True
framedrattler1409359194.u.arkana.near,2024-03-21,115161229,115161229,True
frequentsplotch3363172070.u.arkana.near,2024-03-21,115174905,115174905,True
fragmentedacknowledgement3946359302.u.arkana.near,2024-03-21,115168211,115168211,True
frozencrisscross8767295450.u.arkana.near,2024-03-21,115164815,115164815,True
gaseousblockbuster3309343683.u.arkana.near,2024-03-21,115171581,115171581,True
full-blownmidriff7017138624.u.arkana.near,2024-03-21,115160073,115160073,True
gentleillegality302026533.u.arkana.near,2024-03-21,"115166856,115168076","115166856,115168076",True
gifteddivination235926482.u.arkana.near,2024-03-21,115172842,115172842,True
giddybutton5660358879.u.arkana.near,2024-03-21,115167099,115167099,True
gamerhasti75.near,2024-03-21,"115152378,115152383","115152378,115152383",True
genteelgap5239359176.u.arkana.near,2024-03-21,115173578,115173578,True
givenarmband2865359194.u.arkana.near,2024-03-21,"115161204,115161276","115161204,115161276",True
glazedsloth2136290890.u.arkana.near,2024-03-21,115162557,115162557,True
governmentaltower1033333288.u.arkana.near,2024-03-21,115151797,115151797,True
gatheredcustom4114359249.u.arkana.near,2024-03-21,115164640,115164640,True
graciousaphorism5785227401.u.arkana.near,2024-03-21,"115155763,115172713","115155763,115172713",True
governmentalidiot3063342558.u.arkana.near,2024-03-21,115155673,115155673,True
grievousleftist208533541.u.arkana.near,2024-03-21,115163784,115163784,True
grammaticalforay5297356001.u.arkana.near,2024-03-21,115153341,115153341,True
grimtag4480176806.u.arkana.near,2024-03-21,115157182,115157182,True
hardeneddemolition739370654.u.arkana.near,2024-03-21,115173170,115173170,True
hardnymph8988286607.u.arkana.near,2024-03-21,115171259,115171259,True
grittygloss3019334070.u.arkana.near,2024-03-21,115161593,115161593,True
hard-workingframe3602276930.u.arkana.near,2024-03-21,115170753,115170753,True
handmadenegotiation7503287618.u.arkana.near,2024-03-21,115152359,115152359,True
harriedcommunion1475206211.u.arkana.near,2024-03-21,115154717,115154717,True
hastyrind6483343009.u.arkana.near,2024-03-21,115156743,115156743,True
hauntedallocation2050341268.u.arkana.near,2024-03-21,115168139,115168139,True
hawkishsuburb2040106483.u.arkana.near,2024-03-21,115168544,115168544,True
helplessfiend2435356370.u.arkana.near,2024-03-21,"115162820,115166637","115162820,115166637",True
healthfulstarburst2407315386.u.arkana.near,2024-03-21,115161192,115161192,True
hiddenclinch7405255928.u.arkana.near,2024-03-21,115164849,115164849,True
haskixbt.near,2024-03-21,"115169900,115169907,115170448,115170458,115170470,115170484,115170803,115170820,115170974,115172943,115172952,115172967","115169900,115169907,115170448,115170458,115170470,115170484,115170803,115170820,115170974,115172943,115172952,115172967",True
high-pressuremounting6207308935.u.arkana.near,2024-03-21,115155837,115155837,True
hoangphannhat10.near,2024-03-21,"115163950,115164156","115163950,115164156",True
hoarsecart192929733.u.arkana.near,2024-03-21,115159907,115159907,True
