Receiver ID,Block Date,Block Heights not present in Index Files,Block Heights not present in Databricks
diplomaticshowgirl3321167767.u.arkana.near,2024-03-21,"115170287,115170392,115171889","115170287,115170392,115171889"
directactualization4491335263.u.arkana.near,2024-03-21,115185342,115185342
directwisdom5893290208.u.arkana.near,2024-03-21,115166761,115166761
disgracefulmismatch8419279362.u.arkana.near,2024-03-21,115173086,115173086
disparagingreliance202346008.u.arkana.near,2024-03-21,115182627,115182627
disloyalentomologist6155334929.u.arkana.near,2024-03-21,115163086,115163086
disappointingdesigner4828359317.u.arkana.near,2024-03-21,115171841,115171841
disciplinedhouse6118190908.u.arkana.near,2024-03-21,"115173658,115173728","115173658,115173728"
dissimilarspender159121499.u.arkana.near,2024-03-21,115166485,115166485
disparatedowel4297260767.u.arkana.near,2024-03-21,115182536,115182536
distinguishableern1197342406.u.arkana.near,2024-03-21,115152765,115152765
disturbingoath24324872.u.arkana.near,2024-03-21,115165873,115165873
diversefavour2318148738.u.arkana.near,2024-03-21,"115151377,115165024","115151377,115165024"
distinguishedwatercolor18543630.u.arkana.near,2024-03-21,115176847,115176847
djupri10216.near,2024-03-21,115172498,115172498
doctrinalurchin3463283668.u.arkana.near,2024-03-21,115163574,115163574
dogmaticnewsman6467310943.u.arkana.near,2024-03-21,115161594,115161594
duskynoise3550295916.u.arkana.near,2024-03-21,115159312,115159312
eagerpole747011308.u.arkana.near,2024-03-21,115159403,115159403
earlybabushka708853511.u.arkana.near,2024-03-21,115157990,115157990
earnedbookstore568957845.u.arkana.near,2024-03-21,115180121,115180121
earthlyanticlimax140931372.u.arkana.near,2024-03-21,115185993,115185993
earnestchemist281151132.u.arkana.near,2024-03-21,115169614,115169614
edgevideo.near,2024-03-21,"115158579,115158590,115158599,115158630,115158638,115158648","115158579,115158590,115158599,115158630,115158638,115158648"
eeriewashstand3340121354.u.arkana.near,2024-03-21,115173537,115173537
elderlycoolant210824330.u.arkana.near,2024-03-21,115184254,115184254
electoralcircumstance609289100.u.arkana.near,2024-03-21,"115155915,115155944","115155915,115155944"
